 Temperature,Relat_Humid,Wind_Speed ,Solar Radi,Surf_Out_ Temp
-0.158254307,64,0.520183969,0,-2.032097086
-0.624920973,66.5,0.468165572,0,-2.491566653
-1.09158764,69,0.416147175,0,-3.193899642
-1.558254307,71.5,0.364128778,0,-3.613986554
-2.024920973,74,0.312110381,0,-4.079791923
-2.358254307,74.83333333,0.260091985,0,-4.40453214
-2.69158764,75.66666667,0.208073588,0,-4.749556303
-3.024920973,76.5,0.156055191,0,-5.095069397
-3.358254307,77.33333333,0.104036794,0,-5.44442626
-3.69158764,78.16666667,0.052018397,0,-5.708335453
-4.024920973,79,0,0,-6.240689673
-3.574920973,79.66666667,0.052018397,0,-5.496495789
-3.124920973,80.33333333,0.104036794,0,-5.011886573
-2.674920973,81,0.156055191,0,-4.519107975
-2.224920973,81.66666667,0.208073588,0,-4.036814208
-1.774920973,82.33333333,0.260091985,0,-3.561336844
-1.324920973,83,0.312110381,0,-3.096823123
-1.94158764,83.5,0.260091985,0,-3.847365308
-2.558254307,84,0.208073588,0,-4.470204632
-3.174920973,84.5,0.156055191,0,-5.097394123
-3.79158764,85,0.104036794,0,-5.74995151
-4.408254307,85.5,0.052018397,0,-6.423034693
-5.024920973,86,0,0,-7.259762283
-5.024920973,86,0,0,-7.127655984
-5.024920973,86,0,0,-7.148869282
-5.024920973,86,0,0,-7.13823909
-5.024920973,86,0,0,-7.139087283
-5.024920973,86,0,0,-7.17116771
-5.024920973,86,0,0,-7.161883503
-4.424920973,86.16666667,0.052018397,0,-6.329130608
-3.824920973,86.33333333,0.104036794,0,-5.687695759
-3.224920973,86.5,0.156055191,0,-5.055979182
-2.624920973,86.66666667,0.208073588,0,-4.452619752
-2.024920973,86.83333333,0.260091985,0,-3.825766998
-1.424920973,87,0.312110381,0,-3.210147281
-2.024920973,86.83333333,0.312110381,0,-4.112669554
-2.624920973,86.66666667,0.312110381,0,-4.657999349
-3.224920973,86.5,0.312110381,0,-5.261919087
-3.824920973,86.33333333,0.312110381,0,-5.868282039
-4.424920973,86.16666667,0.312110381,0,-6.444607852
-5.024920973,86,0.312110381,0,-7.022704101
-5.024920973,86,0.260091985,0,-6.978469829
-5.024920973,86,0.208073588,0,-7.025982211
-5.024920973,86,0.156055191,0,-7.043182925
-5.024920973,86,0.104036794,0,-7.072066308
-5.024920973,86,0.052018397,0,-7.005743082
-5.024920973,86,0,0,-7.212692225
-4.44158764,85.5,0.052018397,0,-6.392750283
-3.858254307,85,0.104036794,0,-5.777166544
-3.274920973,84.5,0.156055191,0,-5.163141556
-2.69158764,84,0.208073588,0,-4.55125159
-2.108254307,83.5,0.260091985,0,-3.951865589
-1.524920973,83,0.312110381,0,-3.369037859
-1.474920973,83,0.312110381,0,-3.336601606
-1.424920973,83,0.312110381,0,-3.258908227
-1.374920973,83,0.312110381,0,-3.178820909
-1.324920973,83,0.312110381,0,-3.105601365
-1.274920973,83,0.312110381,0,-3.037870887
-1.224920973,83,0.312110381,0,-2.973835439
-1.008254307,83.16666667,0.312110381,0,-2.701829761
-0.79158764,83.33333333,0.312110381,0,-2.443848312
-0.574920973,83.5,0.312110381,0,-2.191158479
-0.358254307,83.66666667,0.312110381,0,-1.942996118
-0.14158764,83.83333333,0.312110381,0,-1.697819622
0.075079027,84,0.312110381,0,-1.43944451
-0.058254307,84.33333333,0.312110381,0,-1.522994452
-0.19158764,84.66666667,0.312110381,0,-1.602155924
-0.324920973,85,0.312110381,0,-1.656719515
-0.458254307,85.33333333,0.312110381,0,-1.722443657
-0.59158764,85.66666667,0.312110381,0,-1.776328865
-0.724920973,86,0.312110381,0,-1.853842488
-0.74158764,85.5,0.312110381,0,-1.861658832
-0.758254307,85,0.312110381,0,-1.831652562
-0.774920973,84.5,0.312110381,0,-1.887873676
-0.79158764,84,0.312110381,0,-1.899695231
-0.808254307,83.5,0.312110381,0,-1.920343858
-0.824920973,83,0.312110381,0,-1.940032393
-0.808254307,83,0.312110381,0,-1.911791321
-0.79158764,83,0.312110381,0,-1.858824883
-0.774920973,83,0.312110381,0,-1.861876381
-0.758254307,83,0.312110381,0,-1.835537499
-0.74158764,83,0.312110381,17.85902814,0.749458466
-0.724920973,83,0.312110381,23.88458214,1.776290921
-0.574920973,82.5,0.312110381,24.39107904,1.90336922
-0.424920973,82,0.312110381,28.14052258,2.590647156
-0.274920973,81.5,0.312110381,31.26712734,3.120356328
-0.124920973,81,0.312110381,38.80997349,4.296126726
0.025079027,80.5,0.312110381,46.24672494,5.32708953
0.175079027,80,0.312110381,53.66255485,6.350881507
0.30841236,81,0.260091985,61.10752221,7.403539154
0.441745693,82,0.208073588,68.6120349,8.457261702
0.575079027,83,0.156055191,76.50324373,9.566550305
0.70841236,84,0.104036794,82.23249069,10.39569789
0.841745693,85,0.052018397,88.03749488,11.32508442
0.975079027,86,0,93.91715644,12.50639183
1.141745693,85,0,99.87180708,13.24638034
1.30841236,84,0,105.9030063,14.07948312
1.475079027,83,0,112.0134712,14.89342034
1.641745693,82,0,121.2938352,16.11064843
1.80841236,81,0,130.7779318,17.25113988
1.975079027,80,0,140.4553986,18.41307753
2.475079027,77.5,0.104036794,150.3173222,18.3622379
2.975079027,75,0.208073588,160.3564304,19.4248723
3.475079027,72.5,0.312110381,170.5673749,20.40402299
3.975079027,70,0.416147175,175.6391568,20.91266036
4.475079027,67.5,0.520183969,180.8322144,21.55552465
4.975079027,65,0.624220763,186.1302889,22.20982357
5.141745693,65.16666667,1.050771618,191.5211157,21.85978523
5.30841236,65.33333333,1.477322472,214.4885442,23.42907957
5.475079027,65.5,1.903873327,220.0682799,23.22584473
5.641745693,65.66666667,2.330424182,217.2190629,22.66834359
5.80841236,65.83333333,2.756975037,214.3826987,22.23833734
5.975079027,66,3.183525891,211.5606656,21.85006951
5.975079027,66.83333333,3.183525891,191.4827799,20.31899187
5.975079027,67.66666667,3.183525891,188.879008,20.29752123
5.975079027,68.5,3.183525891,186.3579597,20.10295124
5.975079027,69.33333333,3.183525891,205.186695,21.64038338
5.975079027,70.16666667,3.183525891,207.0418359,21.59321833
5.975079027,71,3.183525891,208.790089,21.74334892
6.291745693,67.16666667,3.131507494,210.4147958,22.21200454
6.60841236,63.33333333,3.079489097,211.9034092,22.62945044
6.925079027,59.5,3.027470701,213.2482702,23.04261852
7.241745693,55.66666667,2.975452304,196.7643545,22.03721872
7.55841236,51.83333333,2.923433907,180.5456645,21.21189697
7.875079027,48,2.87141551,164.6217603,20.36761907
7.741745693,50,2.767378716,149.0219398,19.1306791
7.60841236,52,2.663341922,133.775054,17.93787347
7.475079027,54,2.559305128,107.0941289,15.73187531
7.341745693,56,2.455268334,92.1474881,14.56715736
7.20841236,58,2.351231541,77.11271347,13.25689124
7.075079027,60,2.247194747,62.69918707,11.97120672
6.891745693,62.66666667,2.143157953,48.55442996,10.60358979
6.70841236,65.33333333,2.039121159,34.69364664,9.210927549
6.525079027,68,1.935084365,21.2037299,7.786712239
6.341745693,70.66666667,1.831047571,17.55842978,7.313741074
6.15841236,73.33333333,1.727010778,14.04754839,6.791882694
5.975079027,76,1.622973984,10.25423727,6.225512721
6.041745693,74.33333333,1.508533511,6.515327593,5.827580019
6.10841236,72.66666667,1.394093037,2.94927749,5.465250117
6.175079027,71,1.279652564,0,5.188435995
6.241745693,69.33333333,1.165212091,0,5.247829351
6.30841236,67.66666667,1.050771618,0,5.28019285
6.375079027,66,0.936331144,0,5.315608045
6.30841236,66.83333333,1.102790015,0,5.265255892
6.241745693,67.66666667,1.269248885,0,5.227282322
6.175079027,68.5,1.435707755,0,5.186165175
6.10841236,69.33333333,1.602166625,0,5.141228185
6.041745693,70.16666667,1.768625495,0,5.094255815
5.975079027,71,1.935084365,0,5.047312733
5.475079027,72.66666667,1.664588701,0,4.499701061
4.975079027,74.33333333,1.394093037,0,3.985476795
4.475079027,76,1.123597373,0,3.268899986
3.975079027,77.66666667,0.853101709,0,2.780525527
3.475079027,79.33333333,0.582606045,0,2.25835903
2.975079027,81,0.312110381,0,1.728792034
3.325079027,81,0.312110381,0,2.151698654
3.675079027,81,0.312110381,0,2.497132137
4.025079027,81,0.312110381,0,2.844050932
4.375079027,81,0.312110381,0,3.190954053
4.725079027,81,0.312110381,0,3.650153894
5.075079027,81,0.312110381,0,3.990275927
4.80841236,82.16666667,0.34332142,0,3.697739367
4.541745693,83.33333333,0.374532458,0,3.328045202
4.275079027,84.5,0.405743496,0,3.090414157
4.00841236,85.66666667,0.436954534,0,2.838945079
3.741745693,86.83333333,0.468165572,0,2.588540528
3.475079027,88,0.49937661,0,2.337731888
3.225079027,88.83333333,0.520183969,0,2.09417019
2.975079027,89.66666667,0.540991328,0,1.862107969
2.725079027,90.5,0.561798687,0,1.618931474
2.475079027,91.33333333,0.582606045,0,1.376908788
2.225079027,92.16666667,0.603413404,0,1.136742072
1.975079027,93,0.624220763,0,0.894848702
2.375079027,91.83333333,0.572202366,0,1.326836619
2.775079027,90.66666667,0.520183969,0,1.711158142
3.175079027,89.5,0.468165572,0,2.097721438
3.575079027,88.33333333,0.416147175,0,2.59976098
3.975079027,87.16666667,0.364128778,0,2.973866459
4.375079027,86,0.312110381,0,3.354005082
3.975079027,87.16666667,0.260091985,0,2.880043876
3.575079027,88.33333333,0.208073588,0,2.471076256
3.175079027,89.5,0.156055191,0,2.051155138
2.775079027,90.66666667,0.104036794,0,1.626867557
2.375079027,91.83333333,0.052018397,0,1.191631152
1.975079027,93,0,0,0.682588576
1.975079027,93,0,0,0.736311229
1.975079027,93,0,0,0.729658116
1.975079027,93,0,0,0.728947162
1.975079027,93,0,0,0.727651644
1.975079027,93,0,0,0.726432494
1.975079027,93,0,0,0.725226356
2.275079027,92.66666667,0.052018397,0,1.101106925
2.575079027,92.33333333,0.104036794,0,1.411193571
2.875079027,92,0.156055191,0,1.721077316
3.175079027,91.66666667,0.208073588,0,2.028242722
3.475079027,91.33333333,0.260091985,0,2.333972944
3.775079027,91,0.312110381,0,2.638688083
3.30841236,91.33333333,0.260091985,0,2.096676392
2.841745693,91.66666667,0.208073588,0,1.631781827
2.375079027,92,0.156055191,0,1.155185077
1.90841236,92.33333333,0.104036794,0,0.676995379
